ID,WILLAYA_ID,COMMUNE_ID,COMMUNE,COMMUNE_ARABIC,RISK,CAPITAL_ASSURE
1432,44,18,HASSANIA,الحسنية,2,0.0
1433,44,19,BIR OULED KHELIFA,بئر أولاد خليفة,2,0.0
1434,44,20,AIN SOLTANE,عين السلطان,2,2000000.0
1435,44,21,TARIK IBN ZIAD,طارق بن زياد,2,0.0
1436,44,22,BORDJ EMIR KHALED,برج الامير خالد,2,0.0
1437,44,23,AIN TORKI,عين التركى,3,0.0
1438,44,24,SIDI LAKHDAR,سيدي الاخضر,2,1000000.0
1439,44,25,BEN ALLEL,بن علال,2,0.0
1440,44,26,AIN BENIAN,عين البنيان,3,0.0
1441,44,27,HOCEINIA,حسينية,3,0.0
1442,44,28,BIRBOUCHE,بربوش,2,0.0
1443,44,29,DJEMAA OULED CHEIKH,جمعة أولاد الشيخ,2,129780000.0
1444,44,30,MEKHATRIA,المختارية,3,7000000.0
1445,44,31,BATHIA,بطحية,2,0.0
1446,44,32,TACHETA ZEGAGHA,تاشتة زقاغة,4,43920000.0
1447,44,33,AIN BOUYAHIA,عين بويحى,4,9836000.0
1448,44,34,EL MAINE,الماين,2,778649693.05
1449,44,35,TIBERKANINE,تبركانين,3,16039550.0
1450,44,36,BELAAS,بالعاص,2,0.0
1451,45,01,NAAMA,النعامة,0.5,338240000.0
1452,45,02,MECHERIA,مشرية,0.5,3000000.0
1453,45,03,AIN SEFRA,عين الصفراء,0.5,0.0
1454,45,04,TIOUT,تيوت,0.5,0.0
1455,45,05,SFISSIFA,سفيسيفة,0.5,1100000.0
1456,45,06,MOGHRAR,مغرار,0.5,0.0
1457,45,07,ASLA,عسلة,0.5,0.0
1458,45,08,DJENIEN BOURZEG,جنين بورزق,0.5,0.0
1459,45,09,AIN BEN KHELIL,عين بن خليل,0.5,0.0
1460,45,10,MAK.BEN AMAR,مكمن بن عمر,0.5,0.0
1461,45,11,KASDIR,قصدير,0.5,0.0
1462,45,12,EL BIODH,البيوض,0.5,1000000.0
1463,46,01,AIN TEMOUCHENT,عين تموشنت,2,338240000.0
1464,46,02,CHAABET EL HAM,شعبة اللحم,2,3000000.0
1465,46,03,AIN KIHAL,عين الكيحل,2,0.0
1466,46,04,HAMMAM BOUHADJAR,حمام بو حجر,2,0.0
1467,46,05,BOUZEDJAR,بوزجار,2,1100000.0
1468,46,06,OUED BERKECHE,وادى برقش,2,0.0
1469,46,07,AGHLAL,أغلال,2,0.0
1470,46,08,TERGA,تارقة,2,0.0
1471,46,09,AIN EL ARBAA,عين الاربعاء,2,0.0
1472,46,10,TAMZOURA,تامزورة,2,0.0
